,forecast_currency_Upper,forecast_currency_fitted,forecast_currency_Lower
2022-12-31,606.4048229798684,514.5150835180639,422.6253440562593
2023-12-31,644.5428535008873,532.6441288800211,420.7454042591549
2024-12-31,726.630365986562,564.9361048566404,403.2418437267189
2025-12-31,809.0895239672183,603.0423558332599,396.9951876993015
2026-12-31,1003.8806508670034,755.4989087329562,507.1171665989091
2027-12-31,1076.4171813078021,786.4169087498897,496.4166361919772
2028-12-31,1188.4092854365044,831.4978393814854,474.58639332646624
2029-12-31,1304.05734739811,882.3930450130812,460.7287426280523
